scenario_id,run_id,decision,reason,correct,time_sec,llm_time_sec,tests_passed,tests_failed,tests_total,canary_error_rate,canary_latency_ms,stable_error_rate,stable_latency_ms,nginx_error_rate,nginx_latency_ms,gh_actions_status,docker_logs,canary_version,log_lines,log_chars
S1,1,DEPLOY,"[Chain OK] GitHub Actions success, all tests passed (12/12), smoke tests passed, and security scan found no issues.",True,12.6479,12.595,12,0,12,0.0,71.9,0.0,74.6,0.0,72.2,success,"172.18.0.1 - - [03/May/2026 22:51:36] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [03/May/2026 22:51:36] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [03/May/2026 22:51:36] ""GET /api/data HTTP/1.1""",stable,30,2068
S1,2,DEPLOY,"[Chain OK] GitHub Actions success, all tests passed (12/12), smoke tests passed, and security scan found no issues.",True,10.1957,10.129,12,0,12,0.0,67.6,0.0,68.5,0.0,69.3,success,"172.18.0.1 - - [03/May/2026 22:52:14] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [03/May/2026 22:52:14] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.5 - - [03/May/2026 22:52:14] ""GET /api/data HTTP/1.1""",stable,30,2068
S1,3,DEPLOY,"[Chain OK] GitHub Actions success, all tests passed (12/12), smoke tests passed, and security scan found no issues.",True,9.6813,9.6,12,0,12,0.0,70.4,0.0,70.4,0.0,70.6,success,"172.18.0.5 - - [03/May/2026 22:52:50] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [03/May/2026 22:52:50] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [03/May/2026 22:52:50] ""GET /api/data HTTP/1.1""",stable,30,2068
S1,4,DEPLOY,"[Chain OK] GitHub Actions success, all tests passed (12/12), smoke tests passed, and no security issues were found.",True,9.0238,8.949,12,0,12,0.0,67.8,0.0,66.8,0.0,71.1,success,"172.18.0.1 - - [03/May/2026 22:53:25] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [03/May/2026 22:53:25] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.5 - - [03/May/2026 22:53:25] ""GET /api/data HTTP/1.1""",stable,30,2068
S1,5,DEPLOY,"[Chain OK] GitHub Actions success, all tests passed (12/12), smoke tests passed, and no security issues were found.",True,9.1862,9.108,12,0,12,0.0,69.3,0.0,67.7,0.0,67.0,success,"172.18.0.1 - - [03/May/2026 22:53:59] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.5 - - [03/May/2026 22:53:59] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [03/May/2026 22:53:59] ""GET /api/data HTTP/1.1""",stable,30,2068
S1,6,DEPLOY,"[Chain OK] GitHub Actions success, all tests passed (12/12), smoke tests passed, and security scan found no issues.",True,9.5154,9.452,12,0,12,0.0,72.9,0.0,72.6,0.0,74.1,success,"172.18.0.1 - - [03/May/2026 22:54:33] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [03/May/2026 22:54:33] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [03/May/2026 22:54:33] ""GET /api/data HTTP/1.1""",stable,30,2068
S1,7,DEPLOY,"[Chain OK] GitHub Actions success, all tests passed (12/12), smoke tests passed, and security scan found no issues.",True,9.2055,9.133,12,0,12,0.0,68.0,0.0,67.6,0.0,70.0,success,"172.18.0.1 - - [03/May/2026 22:55:07] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [03/May/2026 22:55:07] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.5 - - [03/May/2026 22:55:07] ""GET /api/data HTTP/1.1""",stable,30,2068
S1,8,DEPLOY,"[Chain OK] GitHub Actions success, all tests passed (12/12), smoke tests passed, and security scan found no issues.",True,9.4122,9.319,12,0,12,0.0,66.5,0.0,65.3,0.0,66.7,success,"172.18.0.1 - - [03/May/2026 22:55:41] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.5 - - [03/May/2026 22:55:41] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [03/May/2026 22:55:41] ""GET /api/data HTTP/1.1""",stable,30,2068
S1,9,DEPLOY,"[Chain OK] GitHub Actions success, all tests passed (12/12), smoke tests passed, and security scan found no issues.",True,9.2673,9.176,12,0,12,0.0,68.6,0.0,69.2,0.0,73.1,success,"172.18.0.1 - - [03/May/2026 22:56:16] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [03/May/2026 22:56:16] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [03/May/2026 22:56:16] ""GET /api/data HTTP/1.1""",stable,30,2068
S1,10,DEPLOY,"[Chain OK] GitHub Actions success, all tests passed (12/12), smoke tests passed, and no security issues were found.",True,9.2679,9.238,12,0,12,0.0,60.5,0.0,60.2,0.0,62.4,success,"172.18.0.1 - - [03/May/2026 22:56:51] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [03/May/2026 22:56:51] ""GET /api/data HTTP/1.1"" 200 -
172.18.0.1 - - [03/May/2026 22:56:51] ""GET /api/data HTTP/1.1""",stable,30,2068
